name,mass,mass err,radius,radius err,omega,omega err,CHZ
Kepler-1637 b,0.64,0.024991614,0.89,0.135,2.191899289,2.33E-05,0
Kepler-507 b,2.24,0.08747065,1.3,0.205,1.71228623,3.39E-06,0
Kepler-1563 b,0.347,0.013550141,0.75,0.1,1.039423296,9.01E-06,0
Kepler-1254 c,2.24,0.08747065,1.3,0.095,0.953322933,5.03E-06,0
Kepler-1235 b,0.418,0.016322648,0.79,0.09,0.865470996,5.80E-06,0
Kepler-1420 b,2.18,0.085127686,1.28,0.13,0.62101596,4.17E-06,0
Kepler-647 b,1.71,0.066774469,1.17,0.125,0.412906508,3.96E-06,0
Kepler-779 b,0.721,0.028154615,0.92,0.07,2.286196947,9.41E-06,0
Kepler-80 g,1.51,0.05896459,1.13,0.14,0.484592773,3.97E-06,0
Kepler-1629 b,0.381,0.01487782,0.77,0.115,3.778570288,2.32E-05,0
Kepler-352 c,2.07,0.080832252,1.24,0.1,0.237308471,3.95E-06,0
Kepler-1542 d,0.59,0.023039144,0.87,0.105,2.725464836,1.03E-05,0
Kepler-85 d,1.87,0.073022373,1.2,0.19,0.334542535,4.97E-06,0
Kepler-1199 b,1.6,0.062479035,1.15,0.185,1.190665578,8.58E-06,0
Kepler-1371 c,0.196,0.007653682,0.64,0.06,7.502056746,3.98E-05,0
Kepler-373 c,2.07,0.080832252,1.24,0.62,0.119898298,1.63E-06,0
Kepler-1575 b,2.27,0.088642132,1.31,0.165,6.551122949,3.35E-05,0
Kepler-124 b,0.315,0.01230056,0.73,0.05,0.748613802,4.61E-06,0
Kepler-783 b,0.399,0.015580709,0.78,0.06,0.794496611,6.35E-06,0
Kepler-1012 b,2.21,0.086299168,1.29,0.07,0.779262056,1.63E-06,0
Kepler-1371 b,0.315,0.01230056,0.73,0.065,1.598455736,9.36E-06,0
Kepler-1365 b,0.721,0.028154615,0.92,0.12,0.447562735,2.75E-06,0
Kepler-1365 c,0.437,0.017064587,0.8,0.1,1.612659858,1.36E-05,0
Kepler-97 b,3.51,1.9,1.48,0.13,1.845900493,0.072500419,0
Kepler-1542 b,0.363,0.014174931,0.76,0.095,0.654651856,2.71E-06,0
Kepler-398 d,0.615,0.024015379,0.88,0.035,0.57813212,1.28E-06,0
Kepler-1611 b,0.457,0.017845575,0.81,0.115,1.3203341,1.49E-05,0
Kepler-398 c,1.01,0.039439891,1.01,0.11,0.453284539,1.87E-06,0
Kepler-617 b,2.3,0.089813613,1.32,0.07,6.786377921,4.48E-06,0
Kepler-235 c,2.18,0.085127686,1.28,0.08,0.21504368,1.51E-06,0
Kepler-157 b,2.3,0.089813613,1.32,0.26,4.516951041,1.56E-05,0
Kepler-141 b,0.257,0.010035695,0.69,0.05,0.557439887,3.95E-06,0
Kepler-81 d,1.92,0.074974843,1.21,0.27,0.149136096,1.30E-06,0
Kepler-1482 b,1.01,0.039439891,1.01,0.105,1.70051668,1.17E-05,0
Kepler-1296 b,0.693,0.027061232,0.91,0.075,1.461575847,1.51E-05,0
Kepler-1512 b,1.76,0.068726939,1.18,0.09,0.411792698,1.19E-06,0
Kepler-1130 b,0.437,0.017064587,0.8,0.095,3.733686802,8.86E-06,0
Kepler-1456 b,1.55,0.060526566,1.14,0.12,0.300648764,3.07E-06,0
Kepler-1445 b,0.84,0.032801494,0.96,0.165,1.710989518,1.50E-05,0
tau Cet g,1.75,0.325,1.18,0.046078289,0.530026126,0.00039752,0
Kepler-332 c,1.32,0.051545204,1.09,0.08,1.250342125,8.44E-06,0
Kepler-295 c,1.71,0.066774469,1.17,0.62,0.7430749,1.16E-05,0
Kepler-167 d,1.83,0.071460397,1.194,0.0485,0.987268444,4.46E-06,0
Kepler-212 b,1.32,0.051545204,1.09,0.21,1.341149932,3.12E-05,0
Kepler-1347 b,1.08,0.042173349,1.03,0.055,1.160470444,5.80E-06,0
Kepler-1574 b,2.21,0.086299168,1.29,0.215,2.017948819,1.75E-05,0
Kepler-1542 c,0.208,0.008122275,0.65,0.075,2.400373724,1.22E-05,0
Kepler-1470 b,1.24,0.048421252,1.07,0.085,0.177490898,2.09E-06,0
Kepler-1076 b,0.437,0.017064587,0.8,0.035,2.65078091,9.11E-06,0
Kepler-42 d,0.13,0.005076422,0.57,0.18,3.29582959,2.47E-05,0
Kepler-1542 e,0.363,0.014174931,0.76,0.09,0.365636422,1.73E-06,0
Kepler-390 b,0.477,0.018626562,0.82,0.07,0.757063066,7.53E-06,0
Kepler-206 d,1.81,0.070679409,1.19,0.24,0.287426635,5.55E-06,0
Kepler-1558 b,0.244,0.009528053,0.68,0.05,6.688956559,3.08E-05,0
Kepler-1581 b,0.437,0.017064587,0.8,0.115,0.557731461,3.77E-06,0
Kepler-450 d,0.514,0.02007139,0.837,0.068,0.83621503,2.56E-05,0
Kepler-354 d,2.07,0.080832252,1.24,0.4,0.310396078,5.17E-06,0
Kepler-1617 b,1.87,0.073022373,1.2,0.265,0.881044875,1.63E-05,0
Kepler-384 b,1.46,0.05701212,1.12,0.32,1.21602393,1.31E-05,0
K2-190 c,1.34,0.052326192,1.093,0.122,1.047419529,0.000243527,0
Kepler-362 b,0.615,0.024015379,0.88,0.38,2.089051461,2.04E-05,0
Kepler-796 b,2.24,0.08747065,1.3,0.29,1.613401933,5.83E-06,0
Kepler-1285 b,0.871,0.034012025,0.97,0.09,0.43258675,3.32E-06,0
Kepler-399 b,0.84,0.032801494,0.96,0.51,1.025750958,1.02E-05,0
Kepler-125 c,0.33,0.012886301,0.74,0.05,2.498116016,2.03E-05,0
Kepler-292 b,2.3,0.089813613,1.32,0.14,2.237447144,1.73E-05,0
Kepler-1623 b,2.27,0.088642132,1.31,0.245,0.591758599,3.66E-06,0
Kepler-352 b,0.566,0.022101959,0.86,0.08,0.433726803,8.37E-06,0
Kepler-393 b,2.21,0.086299168,1.29,0.25,1.095067889,1.14E-05,0
Kepler-1179 b,2.3,0.089813613,1.32,0.085,3.419821376,5.22E-06,0
Kepler-1008 b,2.18,0.085127686,1.28,0.06,0.215852573,4.92E-07,0
Kepler-333 c,1.41,0.05505965,1.11,0.2,0.516406654,4.44E-06,0
Kepler-431 b,0.37,0.014448277,0.764,0.029833739,3.540821696,0.139070907,0
Kepler-387 c,0.64,0.024991614,0.89,0.22,0.574696671,1.60E-05,0
Kepler-1425 b,0.779,0.03041948,0.94,0.16,0.818973459,9.18E-06,0
Kepler-1607 b,0.721,0.028154615,0.92,0.235,1.059114887,1.63E-05,0
Kepler-1193 b,2.3,0.089813613,1.32,0.19,4.817876313,1.54E-05,0
Kepler-383 c,2.07,0.080832252,1.24,0.49,0.090787947,1.03E-06,0
Kepler-1424 b,1.65,0.064431505,1.16,0.14,1.053752819,1.07E-05,0
Kepler-299 b,2.3,0.089813613,1.32,0.27,10.11543547,0.00011404,0
Kepler-1423 b,1.2,0.046859277,1.06,0.08,0.12219085,8.82E-07,0
Kepler-374 d,2.27,0.088642132,1.31,0.7,4.764187479,3.79E-05,0
Kepler-332 d,1.76,0.068726939,1.18,0.08,0.146974354,1.40E-06,0
Kepler-1107 b,2.36,0.092156577,1.34,0.09,59.91108971,4.41E-05,0
Kepler-1417 b,0.972,0.037956014,1,0.155,0.028060142,4.19E-07,0
Kepler-1588 b,0.363,0.014174931,0.76,0.09,2.592648544,3.12E-05,0
Kepler-1570 b,1.24,0.048421252,1.07,0.145,0.295654476,3.39E-06,0
Kepler-1308 b,0.0933,0.003643309,0.52,0.055,12.61629714,2.54E-05,0
Kepler-1254 d,2.27,0.088642132,1.31,0.1,0.367430562,1.87E-06,0
Kepler-124 d,1.41,0.05505965,1.11,0.07,0.185040866,2.16E-06,0
Kepler-388 c,0.566,0.022101959,0.86,0.11,2.327655989,3.24E-05,0
Kepler-271 d,0.219,0.008551818,0.66,0.05,2.532895144,1.96E-05,0
Kepler-186 e,2.15,0.083956204,1.27,0.145,0.234282165,7.63E-07,0
Kepler-217 d,2.3,0.089813613,1.32,0.315,5.764936423,3.32E-05,0
Kepler-1178 b,1.24,0.048421252,1.07,0.07,0.122205046,1.48E-06,0
tau Cet h,1.83,0.47,1.19,0.046468783,0.643722728,0.001172537,0
Kepler-1499 b,1.81,0.070679409,1.19,0.195,1.117853071,1.66E-05,0
